Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
08/30/2014 11:14:04	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.1.18421	08/30/2014 11:14:03	08/30/2014 16:14:03	20480
08/30/2014 11:29:01	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.2.18870	08/30/2014 11:29:01	08/30/2014 16:29:01	20480
08/30/2014 12:20:35	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.3.20417	08/30/2014 12:20:34	08/30/2014 17:20:34	22016
08/30/2014 13:01:27	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.4.21643	08/30/2014 13:01:26	08/30/2014 18:01:26	22528
08/30/2014 13:05:12	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.6.21755	08/30/2014 13:05:11	08/30/2014 18:05:11	22528
08/30/2014 13:07:27	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.7.21823	08/30/2014 13:07:27	08/30/2014 18:07:27	22528
08/30/2014 13:08:12	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.8.21845	08/30/2014 13:08:11	08/30/2014 18:08:11	22528
08/30/2014 13:11:44	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.9.21951	08/30/2014 13:11:43	08/30/2014 18:11:43	23040
08/30/2014 13:41:34	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.10.22846	08/30/2014 13:41:33	08/30/2014 18:41:33	24064
08/30/2014 13:43:07	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.11.22893	08/30/2014 13:43:06	08/30/2014 18:43:06	24064
08/30/2014 13:54:04	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.12.23221	08/30/2014 13:54:03	08/30/2014 18:54:03	24064
08/30/2014 14:35:18	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.13.24458	08/30/2014 14:35:18	08/30/2014 19:35:18	24576
08/30/2014 14:58:11	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.14.25136	08/30/2014 14:57:55	08/30/2014 19:57:55	24576
08/30/2014 16:15:26	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.17.27462	08/30/2014 16:15:25	08/30/2014 21:15:25	26112
08/30/2014 16:18:30	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.18.27554	08/30/2014 16:18:29	08/30/2014 21:18:29	26112
08/30/2014 16:34:40	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.19.28039	08/30/2014 16:34:39	08/30/2014 21:34:39	26112
08/30/2014 17:06:18	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\_Laboratory\TimeZoneLab\TimeZoneLab\bin\Debug\TimeZoneLab.exe	TimeZoneLab	TimeZoneLab	1.0.20.28988	08/30/2014 17:06:18	08/30/2014 22:06:18	26112
